en,de
the world summit on sustainable development in johannesburg in september 2002 agreed that by 2020 chemicals should be used and produced in ways that minimise significant adverse effects on human health and the environment.,"auf dem weltgipfel für nachhaltige entwicklung im september 2002 in johannesburg wurde vereinbart, die herstellung und verwendung chemischer stoffe bis zum jahr 2020 so umzustellen, dass die negativen folgen für die menschliche gesundheit und die umwelt beträchtlich geringer sind als zum gegenwärtigen zeitpunkt."
"in particular, relying on existing case law, the proposal aims to get rid in one go of all the hidden discriminations and restrictions that many thousands of eu citizens face each year, as consumers, tourists or patients, when seeking to use services in other member states.","auf der grundlage der einschlägigen rechtsprechung soll in einem zug mit allen verdeckten diskriminierungen und beschränkungen aufgeräumt werden, unter denen jährlich tausende von eu-bürgern als verbraucher, touristen oder patienten leiden, wenn sie dienstleistungen in anderen mitgliedstaaten in anspruch nehmen wollen."
"in accordance with the community rules on competition, the commission has adopted a decision under article 85 (3) of the eec treaty exempting the regulations governing the exhibition known as sippa (""salon international professionnel de la papeterie et de la bureautique""), which is the largest event of its kind in france and is held each year in paris at the beginning of february for professionals in the paper sector.","aufgrund der gemeinschaftlichen wettbewerbsregeln hat die kommission nach artikel 85 absatz 3 ewg-vertrag ein freistellungsentscheidung fuer die messeordnung der internationalen fachmesse fuer papierwaren und buerotechnik (salon international professionnel de la papeterie et de la bureautique - sippa) erlassen; es handelt sich um die groesste veranstaltung dieser art in frankreich, die jedes jahr anfang februar in paris fuer fachbesucher stattfindet."
"it concludes that only three options would have the potential to achieve individually more than 5% of total transport fuel consumption over the next 20 years: biofuels which are already available, natural gas in the medium term and hydrogen and fuel cells in the long term.","aus den schlussfolgerungen geht hervor, dass nur drei optionen einen anteil von jeweils mehr als 5 % am gesamten kraftstoffverbrauch in den nächsten 20 jahren erreichen können: bereits vorhandene biokraftstoffe, mittelfristig erdgas und langfristig wasserstoff und brennstoffzellen."
"for this and other reasons, the communication argues that fears that the pursuit of a high level of environmental protection will inevitably seriously damage the community's competitiveness are misplaced.","aus diesem und aus anderen gründen werden befürchtungen, wonach ein hohes umweltschutzniveau der wettbewerbsfähigkeit der gemeinschaft unweigerlich ernsten schaden zufügen werde, in der mitteilung für unbegründet erklärt."
"furthermore, problems of access remain and it is still not possible to deliver humanitarian assistance to chechnya in accordance with the standard principles of independent aid operations.","außerdem bestehen immer noch probleme hinsichtlich des zugangs zu den hilfebedürftigen, und nach wie vor ist es nicht möglich, in tschetschenien humanitäre unterstützung gemäß den grundprinzipien für unabhängige hilfsaktionen zu leisten."
"the council also approved the revised commission working document on the calculation, financing, payment and entry in the budget of the correction of budgetary imbalances in accordance with articles 4 and 5 of the council decision on the system of the eu's own resources, as it appears in addendum ii to this document.","außerdem hat der rat die revidierte fassung der arbeitsunterlage der kommission betreffend die berechnungsmethode, die finanzierung, die zahlung und die haushaltsmäßige erfassung der korrektur der haushaltsungleichgewichte nach maßgabe der artikel 4 und 5 des beschlusses des rates über die eigenmittel der eu gebilligt (siehe addendum ii)."
"it foresees that a system of automatic identification be extended to fishing vessels over 15 meters in length, in order to reduce the risk of collisions at sea.","außerdem ist vorgesehen, dass auch fischereifahrzeuge mit einer länge von mehr als 15 metern mit einem automatischen identifizierungssystem ausgerüstet sein müssen, um die gefahr von kollisionen auf see zu verringern."
ports will also be able to reduce charges for vessels with better environmental performance.,außerdem können die häfen die entgelte für umweltverträglichere schiffe senken.
"the council also took note with satisfaction of the work on other issues carried out for cologne by the general affairs council itself, by other council formations, in particular ecofin (on the broad economic policy guidelines, on reinforced tax policy co-operation, on the single market for financial services, and on improvements in the functioning of the international financial system) and by the presidency (report on the reinforcement of eu action in the field of human rights) in fulfilment of the remits from the vienna european council.","außerdem nahm der rat mit genugtuung die arbeit zur kenntnis, die zur vorbereitung der tagung in köln vom rat ""allgemeine angelegenheiten"" selbst sowie vom rat in anderen zusammensetzungen, insbesondere ecofin (grundzüge der wirtschaftspolitik, verstärkte zusammenarbeit im bereich der steuerpolitik, binnenmarkt für finanzdienste und verbesserungen der funktionsweise des internationalen finanzsystems) und vom vorsitz (bericht über die verstärkung der eu-maßnahmen auf dem gebiet der menschenrechte) zur umsetzung der vorgaben des europäischen rates von wien geleistet worden ist."
"moreover, the council and the commission invite the member states to continue to make every effort to address the priority areas of attracting and retaining more people in employment, increasing labour supply and modernising social protection systems, improving adaptability of workers and enterprises and increasing investment in human capital through better education and skills.","außerdem rufen der rat und die kommission die mitgliedstaaten dazu auf, weiterhin jede anstren­gung zu unternehmen, um die folgenden prioritären bereiche voranzubringen: mehr menschen in beschäftigung bringen und halten; das arbeitskräfteangebot vergrößern und die sozialschutz­systeme modernisieren; die anpassungsfähigkeit der arbeitskräfte und der unternehmen ver­bessern; durch verbesserung von bildung und qualifizierung die investitionen in das humankapital steigern."
"additionally, it will be possible to use the funds for innovation of vessels and their adaption to technical progress with regards to the environment.","außerdem wird es möglich sein, die mittel für die innovation von schiffen und ihre anpassung an den technischen fortschritt im hinblick auf eine bessere umweltverträglichkeit einzusetzen."
"it soon appeared, though, that a number of delegations considered that the differences between the physical agents concerned, particularly with regard to their nature, their effects, current knowledge and monitoring possibilities, made the concept of a single instrument problematic and that it might be better to have several separate texts.","bald gab jedoch eine reihe von delegationen zu bedenken, daß es aufgrund der unterschiede zwischen den betreffenden physikalischen einwirkungen, insbesondere hinsichtlich ihrer art, ihrer auswirkungen, des derzeitigen wissensstandes und der überwachungsmöglichkeiten, problematisch sei, alles in einem einzigen rechtsakt zu erfassen, weshalb verschiedene texte zweckmäßiger wären."
the caremore and ctctrap projects are focusing on circulating tumour cells and dna in a patient’s blood to guide early diagnosis and treatments for women with metastatic breast cancer.,"bei den projekten caremore und ctctrap wird erforscht, wie mittels der tumorzellen in der blutbahn und der dns die früherkennung und behandlung bei frauen mit brustkrebsmetastasen unterstützt werden kann."
"it is recalled that despite significant improvements in europe's air quality driven by legislation and other factors, air pollution continues to have serious human health and environmental effects.",bekanntlich hat die luftverschmutzung trotz der durch rechtsvorschriften und andere faktoren erreichten deutlichen verbesserung der luftqualität in europa nach wie vor schwerwiegende auswirkungen auf die menschliche gesundheit und die umwelt.
calculating days out of port for vessels which fish both inside and outside the areas covered by the effort scheme as well as for vessels changing fishing gear which determines the number of days allowed;,"berechnung der tage außerhalb des hafens für schiffe, die sowohl innerhalb als auch außerhalb der gebiete fischen, in denen die aufwandsregelung gilt, ebenso wie berechnung dieser tage für schiffe, die das fanggerät, das über die anzahl der zulässigen tage entscheidet, wechseln;"
"where the agency considers that there are grounds for suspecting that a substance is released from articles and that this release presents a risk to human health or the environment, it may require producers or importers of articles to submit a registration.","besteht nach auffassung der agentur grund zur annahme, dass ein stoff aus erzeugnissen freigesetzt wird und dass diese freisetzung eine gefahr für die menschliche gesundheit oder die umwelt darstellt, kann sie von den herstellern oder importeuren von erzeugnissen die einreichung einer registrierung verlangen."
"biological resources: includes genetic resources, organisms or parts thereof, populations, or any other biotic component of ecosystems with actual or potential use or value for humanity.","biologische ressourcen: umfasst die genetischen ressourcen, organismen oder teile von organismen, populationen oder sonstige biotische bestandteile eines ökosystems mit aktuellem oder potenziellem nutzen oder wert für die menschheit."
"until now the malaria parasite has managed to avoid control by rapidly developing drug resistance through mutations and hiding from the immune system inside liver and red blood cells in the body of the host, where it proliferates.","bislang konnte der malaria-parasit seine eindämmung durch rasche ausbildung einer arzneimittelresistenz verhindern, indem er mutierte und sich in der leber und den roten blutkörperchen seines wirts vor dem immunsystem verbarg."
"as a number of shortcomings in the danish legislation may lead to a lower level of protection for human health and the environment, the commission sent a letter of formal notice in september 2011, followed by an additional letter of formal notice in february 2015.","da das dänische recht eine reihe von mängeln aufweist, die zu einem niedrigeren schutzniveau für die menschliche gesundheit und die umwelt führen könnten, übermittelte die kommission im september 2011 ein erstes und im februar 2015 ein ergänzendes aufforderungsschreiben."
"since member states have already earmarked, with the support of the community budget, substantial amounts of money in their current programmes for structural measures in the fishing sector, the commission has evaluated the additional amount of community money necessary to carry out the decommissioning of vessels at €272 million over the period 2003-2006.","da die mitgliedstaaten mit der unterstützung aus dem gemeinschaftshaushalt bereits signifikante beträge in ihren laufenden programmen für strukturmaßnahmen im fischereisektor vorgesehen haben, schätzte die kommission den zusätzlichen bedarf an gemeinschaftlichen haushaltsmitteln für die stillegung von schiffen auf 272 mio. € für den zeitraum 2003-2006."
"since the isd provides no mechanism for harmonising national approaches to implementation (the issue that is at the heart of the issues under examinsation by the committee of wise men on the regulation of european securities markets chaired by alexandre lamfalussy), the commission considers that a new approach is necessary to overcome these difficulties, seize new opportunities and meet the regulatory challenges of the new securities trading environment.","da die wertpapierdienstleistungs-richtlinie kein instrumentarium zur harmonisierung der einzelstaatlichen umsetzungsmaßnahmen liefert (wobei genau dies eine der zentralen fragen ist, die derzeit vom ausschuss der weisen zur regulierung der europäischen wertpapiermärkte unter dem vorsitz von alexandre lamfalussy geprüft wird), ist nach ansicht der kommission ein neuer ansatz vonnöten, der es ermöglicht, die bestehenden schwierigkeiten zu überwinden und gleichzeitig neue chancen zu nutzen, und der dem regulierungsbedarf angesichts der veränderten bedingungen auf dem wertpapiermarkt rechnung trägt."
"thus, those cells, since they represent the first stage of the human body which they will become must be legally classified as embryos, the patentability of which must be excluded.","da diese zellen somit das erste stadium des menschlichen körpers darstellen, zu dem sie werden, sind sie rechtlich als embryonen zu bewerten, deren patentierung ausgeschlossen werden muss."
"as it has no nuclear reactors nor indeed any other nuclear industry, no particular problems are expected in applying community legislation relating to supply and the nuclear common market or in implementing the euratom safeguards system in estonia.","da estland keine kernreaktoren und auch ansonsten keine kernbrennstoffindustrie besitzt, sind bei der anwendung der gemeinschaftsvorschriften über die versorgung mit kernmaterial und den gemeinsamen markt für kernmaterial sowie der euratom-regelung zur sicherheitsüberwachung keine besonderen schwierigkeiten zu erwarten."
"since gps satellite signals don’t always work inside garages, the scientists have developed a camera-based system based on their expertise in robotics and environment sensing.","da gps-satellitensignale nicht immer innerhalb von parkhäusern funktionieren, haben die wissenschaftler ein kamerageleitetes system entwickelt, das sich auf ihr know-how in den bereichen robotik und umfeldwahrnehmung stützt."
"the measures planned under this partnership include scientific research and evaluation of the state of fish stocks, development of the senegalese control and monitoring system, increasing the security of the artisanal fishing vessels, the development of the senegalese institutional structures for fisheries management and provision of training for fishermen.","dabei sind maßnahmen vorgesehen, die wissenschaftliche forschung, abschätzung der lage der fischbestände, entwicklung des senegalesischen kontroll- und überwachungssystems, verbesserung der sicherheit in der küstenfischerei, entwicklung der senegalesischen strukturen für fischereimanagement und die ausbildung von fischern umfassen."
this will give patients better health and quality of life and improve the existing infrastructure of health care systems.,dadurch werden gesundheit und lebensqualität der patienten ebenso verbessert wie die bestehende infrastruktur der gesundheitssysteme.
"consequently, the court of justice declares that the spanish procedural legislation does not appear to comply with the principle of effectiveness, in so far as, in proceedings brought by consumers in cases where the goods delivered are not in conformity with the contract of sale, it makes the enforcement of the protection which the directive seeks to confer on them excessively difficult, if not impossible.","daher stellt der gerichtshof fest, dass die spanischen verfahrensvorschriften offenbar nicht mit dem effektivitätsgrundsatz in einklang stehen, da sie die umsetzung des schutzes, den die richtlinie den verbrauchern gewähren soll, in gerichtsverfahren, die die verbraucher im fall der kaufvertragswidrigkeit des gelieferten verbrauchsguts angestrengt haben, übermäßig erschweren, ja sogar unmöglich machen."
"the purpose of the amendment is to derogate from the obligation to draw up lists of third country establishments for imports into the union of ungulate hides and skins, bones and bone products not for animal or human consumption, apiculture products, game trophies, slurry, wools, feathers and honey, for which registration alone by the competent authorities in the third countries of the establishments providing the required guarantees is sufficient.","damit darf von der verpflichtung abgewichen werden, für einfuhren in die union gemeinschaftslisten der drittlandsbetriebe für huftierhäute und knochen, ihre weder für den verzehr noch für die tierernährung bestimmten erzeugnisse, für imkereierzeugnisse, jagdtrophäen, gülle, wolle und federn sowie für honig zu erstellen, da die einfache registrierung der die erforderlichen garantien bietenden betriebe durch die zuständigen behörden genügt."
"in order to combine the tools available in the commission in a more effective way, the high representative will steer and coordinate the work, in particular, of the commissioners for european neighbourhood policy and enlargement negotiations; trade; international cooperation and development; and humanitarian aid and crisis management.","damit die in der kommission verfügbaren instrumente wirksamer kombiniert werden, wird die hohe vertreterin die arbeit lenken und koordinieren, insbesondere die der kommissionsmitglieder für europäische nachbarschaftspolitik und erweiterungsverhandlungen, für handel, für internationale zusammenarbeit und entwicklung sowie für humanitäre hilfe und krisenmanagement."
"this will allow the eu to capitalise on the communities' instruments in order to promote the prospects for peace, the strengthening of democratic processes and the protection of individual human rights, sustainable economic development both through enhanced bilateral and regional cooperation.","damit wird die eu die gemeinschaftsinstrumente nutzbringend einsetzen können, um die aussichten für frieden, die stärkung der demokratischen prozesse und den schutz der individuellen menschenrechte sowie eine nachhaltige wirtschaftliche entwicklung durch eine verbesserte bilaterale wie auch regionale zusammenarbeit zu fördern."
"it aims at covering recreational and personal watercraft, in particular as regards the exhaust, particle and noise emissions produced by their engines with a view to protecting human health and the environment.","danach sollen sportboote und wassermotorräder, insbesondere die von ihren motoren erzeugten abgas-, partikel- und geräuschemissionen, im hinblick auf den schutz der menschlichen gesundheit und der umwelt in ihren anwendungsbereich einbezogen werden."
"in particular, they established a fishing effort limitation determined on the basis of type of fishing and area, and also on the basis of traditional fishing activities, except for spanish vessels (40 since 1996), for an area stretching 50 miles around the irish coast known as the ""irish box"".","darin war insbesondere eine beschränkung des fischereiaufwands nach fangart und gebiet sowie auf der grundlage der traditionellen fangtätigkeiten vorgesehen, mit ausnahme der spanischen fischereifahrzeuge (deren anzahl seit 1996 40 beträgt) in einer 50 meilen breiten zone entlang der irischen küste, der so genannten ""irish box""."
"in addition, alongside with british airways and iberia, it is a member of a metal neutral joint venture (the ""transatlantic joint business"") whereby the partners have agreed to have common fares, capacity, schedules, sales and marketing, share overall revenues and sell each other's products and services on transatlantic routes without regard to which party is operating the aircraft.","darüber hinaus ist sie gemeinsam mit british airways und iberia teil eines transatlantischen joint ventures, in dessen rahmen die verbundpartner gemeinsame tarife, kapazitäten, flugpläne sowie vertriebs- und vermarktungsstrategien vereinbart haben, die gesamteinnahmen teilen und ihre jeweiligen produkte und dienstleistungen unabhängig von der fluggesellschaft, die das flugzeug betreibt, verkaufen (prinzip der „metal neutrality“)."
"the money will also provide landmine safety training to humanitarian aid actors and help to identify, mark and/or clear hazards that prevent delivery of humanitarian aid.","darüber hinaus werden die mittel für sicherheitsschulungen von mitarbeitern humanitärer hilfsorganisationen sowie zur ermittlung, kennzeichnung und/oder räumung von gefahrenbereichen eingesetzt, die die verteilung der humanitären hilfe verhindern."
"in addition, the commission has decided, under article 228 of the ec treaty, to send a letter of formal notice asking greece for full information on its execution of a european court judgement requiring it to allow companies to open optician outlets.","darüber hinaus wird die kommission griechenland eine schriftliche aufforderung zur äußerung nach artikel 228 eg-vertrag zustellen, in dem sie das land um vollständige informationen über die umsetzung eines urteils des gerichtshofs ersucht; nach diesem urteil muss unternehmen die eröffnung von optikergeschäften erlaubt werden."
"we see the successful dual learning system in austria as an excellent model which can inspire similar initiatives in other countries,""","das erfolgreiche duale lernsystem in österreich gilt für uns als hervorragendes beispiel, das den anstoß zu ähnlichen initiativen in anderen ländern geben könnte,"""
"the eu neighbourhood barometer conducts opinion polls in the 16 partner countries and territories participating in the european neighbourhood policy, plus russia, through bi-annual standard barometers (spring and autumn) and one special barometer per year.",das eu-nachbarschafts-barometer führt zweimal jährlich (im frühjahr und im herbst) standard-meinungsumfragen in den an der europäischen nachbarschaftspolitik teilnehmenden 16 partnerländern und gebieten sowie in russland durch und erstellt jährlich ein sonderbarometer.
"the european heart network, a brussels based ngo, and the european society of cardiology have urged european policy makers to facilitate exercise in working and school environments.","das european heart network, eine nichtstaatliche organisation mit sitz in brüssel, und die europäische gesellschaft für kardiologie haben die europäischen entscheidungsträger dringend dazu aufgerufen, die körperliche bewegung in der schule und im arbeitsumfeld zu fördern."
"the early learning of one or more languages in addition to one's mother tongue(s) and increasing awareness of languages, particularly through a recreational approach, at the most flexible and receptive stage of intellectual development may pave the way for learning foreign languages in later life and may thus contribute to achieving the objective of learning two european union languages in addition to one's mother tongue(s).","das frühzeitige bekanntwerden mit einer oder mehreren fremdsprachen und die sprachsensibilisierung - besonders wenn sie auf spielerische weise erfolgt - in einem alter, in dem die lernstrukturen noch flexibel sind und die intellektuelle aufnahmefähigkeit am größten ist, können die erforderlichen voraussetzungen schaffen, die ein späteres erlernen weiterer fremdsprachen begünstigen, und somit zum angestrebten erlernen von zwei fremdsprachen aus der europäischen union beitragen."
"the area is facing severe social and economic problems: high level of immigrants, unemployment, crime, decaying buildings and public spaces, decaying infrastructure systems (in particular refuse collection, sewerage, drainage) and environmental damage.","das gebiet ist mit gravierenden sozialen und wirtschaftlichen problemen konfrontiert: hoher einwandereranteil, arbeitslosigkeit, kriminalität, verwahrloste gebäude und freiflächen, veraltete infrastruktur (vor allem müllsammlung, kanalisation, regenwasserableitung) und umweltschäden."
"the greek money laundering law covers trafficking in drugs and weapons, robbery, blackmail, kidnapping, serious larceny, embezzlement or fraud, illegal trade in antiquities, theft of cargo of a vessel, illegal trade in human tissue and organs, smuggling, nuclear crime, prostitution, illegal gambling.","das griechische antigeldwäsche-gesetz deckt folgende straftaten ab: handel mit drogen und waffen, raub, erpressung, entführung, schwerer diebstahl, veruntreuung oder betrug, illegaler handel mit antiquitäten, diebstahl einer schiffsladung, illegaler handel mit menschlichem gewebe und menschlichen organen, schmuggel, nuklearverbrechen, prostitution und illegales glücksspiel."
what attracts the attention of citizens the most are principally the results of medical research (78%) and the new discoveries on major diseases (60%).,das größte interesse gilt den ergebnissen der medizinischen forschung (78 %) und vorstößen im kampf gegen schwere krankheiten (60 %).
"the bundesverwaltungsgericht (federal administrative court), hearing the dispute as the court of last instance, stayed the proceedings and referred to the court of justice the question whether it is compatible with community law for the operation of a laserdrome with simulated killing to be prohibited under national law because it is contrary to values enshrined in the german constitution (in particular that of human dignity).","das im folgenden rechtsstreit in letzter instanz angerufene bundesverwaltungsgericht setzte das verfahren aus und wandte sich an den gerichtshof mit der frage, ob es mit gemeinschaftsrecht vereinbar ist, dass nach nationalem recht der betrieb eines laserdromes mit simulierten tötungshandlungen untersagt werden muss, weil er gegen wertentscheidungen des grundgesetzes (insbesondere die menschenwürde) verstößt."
